variant,fid,dim,seed,error,seconds
ads,10,30,0,54632.55079844722,16.163
ads,10,30,1,65076.80046362059,16.011
ads,10,30,10,46906.986843332736,16.813
ads,10,30,11,39864.00864459634,15.491
ads,10,30,12,40370.34990179905,16.379
ads,10,30,13,71773.91036419831,24.42
ads,10,30,14,73080.61582662462,15.489
ads,10,30,15,62448.91072390764,29.265
ads,10,30,16,60728.02140065725,17.071
ads,10,30,17,46580.062727985074,15.938
ads,10,30,18,49808.65348084572,16.029
ads,10,30,19,52098.143725964415,39.186
ads,10,30,2,42735.44712925672,13.775
ads,10,30,20,47873.126925835706,15.954
ads,10,30,21,46170.40821430544,39.046
ads,10,30,22,57910.07433926893,17.184
ads,10,30,23,44932.13459446998,16.363
ads,10,30,24,56937.89197621467,16.091
ads,10,30,25,66176.75095528716,38.967
ads,10,30,26,65074.977596056924,16.574
ads,10,30,27,40260.06481307684,39.095
ads,10,30,28,45212.045823104854,17.058
ads,10,30,29,50105.031889759004,16.432
ads,10,30,3,49217.27343168776,16.185
ads,10,30,4,53588.310343448014,16.677
ads,10,30,5,35806.24190495237,15.135
ads,10,30,6,44201.57243988885,16.333
ads,10,30,7,68861.10652944114,16.187
ads,10,30,8,51793.01793123857,15.059
ads,10,30,9,79321.28103240713,16.06
ads,11,30,0,701353.381061775,28.468
ads,11,30,1,1963915.3881468077,59.026
ads,11,30,10,4985823.841917618,22.121
ads,11,30,11,8690625.22891999,25.044
ads,11,30,12,11050577.268394906,55.741
ads,11,30,13,2235891.7808162547,20.735
ads,11,30,14,4729936.374914329,27.703
ads,11,30,15,2733637.7100572977,19.801
ads,11,30,16,4463709.686772517,22.078
ads,11,30,17,7108553.155107057,53.515
ads,11,30,18,891388.4335945221,58.877
ads,11,30,19,23297502.34473865,26.803
ads,11,30,2,1360316.1810238592,25.469
ads,11,30,20,2540728.317262545,55.635
ads,11,30,21,6788852.40506385,25.887
ads,11,30,22,2820043.7662603124,23.451
ads,11,30,23,5100979.726093319,55.19
ads,11,30,24,7309307.090934983,19.415
ads,11,30,25,2630232.020044367,44.462
ads,11,30,26,4384018.183714717,55.265
ads,11,30,27,2618253.9032121217,43.932
ads,11,30,28,11263069.158621093,51.16
ads,11,30,29,4723771.351008482,57.352
ads,11,30,3,12207406.867133807,58.901
ads,11,30,4,12544478.207233898,25.492
ads,11,30,5,2301758.432167745,26.21
ads,11,30,6,10441018.813658232,55.785
ads,11,30,7,8736403.576010173,35.845
ads,11,30,8,3178868.8549180836,25.312
ads,11,30,9,9849184.206214726,29.077
ads,12,30,0,113940.7262622173,14.383
ads,12,30,1,121548.41146765112,43.787
ads,12,30,10,136782.18684578888,46.772
ads,12,30,11,104148.43544746265,13.84
ads,12,30,12,110606.56560489806,20.534
ads,12,30,13,110439.17472068002,44.335
ads,12,30,14,94255.33388695528,14.051
ads,12,30,15,120550.48393758778,44.45
ads,12,30,16,98316.37611366459,46.718
ads,12,30,17,99584.81831491842,14.983
ads,12,30,18,102122.7295791024,44.259
ads,12,30,19,100508.97785614539,43.887
ads,12,30,2,113354.89855497485,44.212
ads,12,30,20,113698.47626504433,14.884
ads,12,30,21,104367.92269474437,44.249
ads,12,30,22,113127.25850904697,46.882
ads,12,30,23,171366.17069550103,20.023
ads,12,30,24,113805.3842463893,44.248
ads,12,30,25,133797.4493377458,44.209
ads,12,30,26,127694.79605388605,20.256
ads,12,30,27,97481.77911437927,44.41
ads,12,30,28,107323.56864354268,46.883
ads,12,30,29,496869.92639034474,30.031
ads,12,30,3,120643.79961160074,44.2
ads,12,30,4,128455.6186454572,46.891
ads,12,30,5,112936.3697010311,23.522
ads,12,30,6,131481.18905576091,20.492
ads,12,30,7,130269.25300841767,44.353
ads,12,30,8,143352.7994082161,24.807
ads,12,30,9,72959.99373271929,44.499
ads,13,30,0,107896.48565333875,52.486
ads,13,30,1,99441.34428239231,37.911
ads,13,30,10,132123.70703198964,54.604
ads,13,30,11,163689.49206930934,52.265
ads,13,30,12,114041.3299889778,52.308
ads,13,30,13,110429.42004747015,17.39
ads,13,30,14,110444.1263506153,52.473
ads,13,30,15,122610.67911872632,17.251
ads,13,30,16,119856.74878471781,54.451
ads,13,30,17,148442.45364325098,52.545
ads,13,30,18,88289.6918726257,41.019
ads,13,30,19,90446.88213707815,17.706
ads,13,30,2,100715.35382924182,38.85
ads,13,30,20,128839.94149029866,52.21
ads,13,30,21,93498.26820747205,17.748
ads,13,30,22,79662.33882191332,54.622
ads,13,30,23,85889.32763927506,52.007
ads,13,30,24,75059.80571419065,17.516
ads,13,30,25,92090.50096288993,17.931
ads,13,30,26,115115.32324031135,51.953
ads,13,30,27,78294.41894437552,18.006
ads,13,30,28,171423.72738901878,54.791
ads,13,30,29,88291.28786800496,52.144
ads,13,30,3,81272.83144901527,37.331
ads,13,30,4,128691.84348499958,54.662
ads,13,30,5,113814.23517400367,51.77
ads,13,30,6,116013.02620610756,52.594
ads,13,30,7,104175.31158070403,17.597
ads,13,30,8,110876.84414684188,51.941
ads,13,30,9,153426.05052878003,17.513
ads,14,30,0,68651.29607880834,14.55
ads,14,30,1,59284.32788897844,15.748
ads,14,30,10,73079.60978334874,47.732
ads,14,30,11,70880.96025145885,14.699
ads,14,30,12,58416.163272817634,15.198
ads,14,30,13,59966.046921663445,17.545
ads,14,30,14,80150.56068187661,14.992
ads,14,30,15,72821.33481912847,17.868
ads,14,30,16,67066.7729281709,47.731
ads,14,30,17,77404.91824824631,14.494
ads,14,30,18,60224.867245815614,15.142
ads,14,30,19,79398.65499130459,16.594
ads,14,30,2,63926.88152657078,45.026
ads,14,30,20,64346.99615431011,14.529
ads,14,30,21,65709.64145119683,16.373
ads,14,30,22,69787.73802152813,48.138
ads,14,30,23,64334.761073424306,15.012
ads,14,30,24,78342.3814625402,15.802
ads,14,30,25,77967.78657579924,17.205
ads,14,30,26,64411.7650539795,15.003
ads,14,30,27,75623.19027197252,17.063
ads,14,30,28,64339.41161118688,47.918
ads,14,30,29,56738.236027150575,14.982
ads,14,30,3,67980.93848051908,15.497
ads,14,30,4,79763.91162171474,48.027
ads,14,30,5,63458.25062706301,18.224
ads,14,30,6,72554.72032802881,14.834
ads,14,30,7,77354.92905317486,16.605
ads,14,30,8,71176.86093164835,17.265
ads,14,30,9,61170.319494688294,16.725
ads,15,30,0,5745.846623728752,45.619
ads,15,30,1,4263.569123574467,51.625
ads,15,30,10,5847.891659387979,128.934
ads,15,30,11,13340.265426073116,45.201
ads,15,30,12,2867.7160156822038,55.218
ads,15,30,13,6034.549145522606,53.22
ads,15,30,14,2661.6665058624403,48.519
ads,15,30,15,4031.2381480342283,55.002
ads,15,30,16,3179.99749238197,129.287
ads,15,30,17,5033.617724802691,51.699
ads,15,30,18,4842.807171452232,51.908
ads,15,30,19,9132.27909586465,97.505
ads,15,30,2,5402.415797154482,40.686
ads,15,30,20,4592.847929743642,55.141
ads,15,30,21,7287.218614181929,97.374
ads,15,30,22,5109.797474052466,128.779
ads,15,30,23,9147.766933544797,53.952
ads,15,30,24,4272.911471661364,69.318
ads,15,30,25,4533.1045297608325,120.175
ads,15,30,26,5009.038466066672,51.559
ads,15,30,27,4350.507016758323,120.449
ads,15,30,28,4855.532826237382,128.512
ads,15,30,29,6080.457484930537,54.412
ads,15,30,3,10340.734787657624,51.996
ads,15,30,4,3768.326162639687,127.992
ads,15,30,5,7624.204420846878,44.505
ads,15,30,6,9663.72374095233,48.896
ads,15,30,7,6550.84475087733,54.764
ads,15,30,8,6982.312163503246,45.686
ads,15,30,9,5195.507409206788,54.292
ads,16,30,0,1323.5248027185007,301.295
ads,16,30,1,1000.8211510471201,204.094
ads,16,30,10,886.62671123462,329.88
ads,16,30,11,2331.0496778602546,175.452
ads,16,30,12,1288.2514470755718,218.071
ads,16,30,13,1658.7937820639663,329.519
ads,16,30,14,1286.6464255443416,164.252
ads,16,30,15,1838.2438888450974,328.46
ads,16,30,16,1666.275835722142,425.037
ads,16,30,17,2682.3968968399668,176.832
ads,16,30,18,2014.7196364666815,435.748
ads,16,30,19,1708.222811738533,433.897
ads,16,30,2,1692.4103060184634,322.715
ads,16,30,20,1751.7041913257917,410.292
ads,16,30,21,1040.6773346179116,432.804
ads,16,30,22,1318.8173402123311,401.219
ads,16,30,23,1682.8729212029693,431.187
ads,16,30,24,1033.4572323019502,431.218
ads,16,30,25,1488.096302813044,439.767
ads,16,30,26,2677.869006928381,434.53
ads,16,30,27,1627.8206369447626,438.495
ads,16,30,28,1981.7102985229403,218.006
ads,16,30,29,2188.0859579192643,436.097
ads,16,30,3,1401.9676457272208,201.922
ads,16,30,4,1404.8478538849367,418.233
ads,16,30,5,1868.197895618619,321.632
ads,16,30,6,2472.662880536039,175.734
ads,16,30,7,2697.517792576662,173.654
ads,16,30,8,3189.6562843247157,174.681
ads,16,30,9,2884.613668910175,174.052
ads,17,30,0,145028.12916899644,57.141
ads,17,30,1,357586.9676978737,57.112
ads,17,30,10,210135.9255961894,57.474
ads,17,30,11,187483.18683595315,56.709
ads,17,30,12,375826.8093330202,56.617
ads,17,30,13,133865.79685519097,57.138
ads,17,30,14,157675.13613368117,56.889
ads,17,30,15,138058.58510105274,56.59
ads,17,30,16,1154839.7672451315,59.861
ads,17,30,17,206649.23260413474,56.473
ads,17,30,18,73541.0280477163,56.931
ads,17,30,19,115526.92072151891,56.953
ads,17,30,2,250193.0633842182,56.13
ads,17,30,20,128889.00903429723,56.433
ads,17,30,21,719533.2815755287,56.554
ads,17,30,22,404304.9496233402,59.996
ads,17,30,23,207806.90503230243,56.222
ads,17,30,24,114420.96382028484,56.723
ads,17,30,25,459158.966843016,57.008
ads,17,30,26,478013.3973972911,56.46
ads,17,30,27,246341.2978977148,56.327
ads,17,30,28,425183.1187737689,59.903
ads,17,30,29,180506.83789046496,56.301
ads,17,30,3,533011.2817930147,56.872
ads,17,30,4,87055.90659261066,26.93
ads,17,30,5,111941.2419078074,56.793
ads,17,30,6,186267.88677555462,56.755
ads,17,30,7,177373.39402022454,57.07
ads,17,30,8,651075.2208728149,56.337
ads,17,30,9,522548.501423905,56.768
ads,18,30,0,56253.3961497372,215.85
ads,18,30,1,54959.96134487392,193.687
ads,18,30,10,42607.08703182969,223.238
ads,18,30,11,34734.217103992894,196.228
ads,18,30,12,43223.562293680734,211.371
ads,18,30,13,33852.34723912269,210.888
ads,18,30,14,68626.94710651542,208.583
ads,18,30,15,67767.50008417961,211.205
ads,18,30,16,22766.754485174566,224.02
ads,18,30,17,30331.24253360114,210.26
ads,18,30,18,46199.056114976614,209.004
ads,18,30,19,61646.855778726545,106.444
ads,18,30,2,99774.95006777433,214.609
ads,18,30,20,103178.52232612607,211.311
ads,18,30,21,19453.09527062856,106.621
ads,18,30,22,26293.645165028458,225.122
ads,18,30,23,93024.21464360326,209.419
ads,18,30,24,96792.85300350477,110.941
ads,18,30,25,75639.51635157454,210.979
ads,18,30,26,42163.75393831862,155.767
ads,18,30,27,41027.12280764007,211.365
ads,18,30,28,36677.42559490893,224.652
ads,18,30,29,63023.05823032009,117.497
ads,18,30,3,79977.78054957424,195.258
ads,18,30,4,89747.66468366011,223.519
ads,18,30,5,69981.87397636229,214.541
ads,18,30,6,64845.51007645995,195.407
ads,18,30,7,38490.528183828035,210.715
ads,18,30,8,31806.53340151687,197.623
ads,18,30,9,32952.33932169181,211.472
ads,19,30,0,1983.6022046581575,431.843
ads,19,30,1,2339.903146232926,432.308
ads,19,30,10,2867.24166818297,444.495
ads,19,30,11,2010.5527647062622,429.65
ads,19,30,12,2087.35485054535,213.259
ads,19,30,13,2445.925636467713,270.065
ads,19,30,14,2289.5645673406098,260.113
ads,19,30,15,1214.2830140952628,267.54
ads,19,30,16,2403.390374689572,450.447
ads,19,30,17,2273.6326022911635,233.441
ads,19,30,18,1281.904382584492,411.276
ads,19,30,19,2734.6029234307643,443.526
ads,19,30,2,1816.7248354088201,385.175
ads,19,30,20,2140.634034071692,336.914
ads,19,30,21,1429.7424293865051,444.497
ads,19,30,22,2324.9572343480086,448.385
ads,19,30,23,2324.535279656715,365.377
ads,19,30,24,2447.231756867738,440.973
ads,19,30,25,2515.597894115069,446.459
ads,19,30,26,2770.988911195479,440.441
ads,19,30,27,2079.77408926097,443.726
ads,19,30,28,1964.5181431553592,449.086
ads,19,30,29,2317.0330976051064,438.301
ads,19,30,3,2779.53467602164,432.087
ads,19,30,4,1763.7860764972206,447.248
ads,19,30,5,2190.618526832282,420.889
ads,19,30,6,2607.036104818433,403.038
ads,19,30,7,1984.1730277803053,322.955
ads,19,30,8,1957.6343307965876,430.054
ads,19,30,9,2500.9761076850946,325.244
ads,1,30,0,461.736934766873,16.107
ads,1,30,1,359.03244531641246,16.21
ads,1,30,10,1214.5550995600936,6.239
ads,1,30,11,4762.009358595613,15.892
ads,1,30,12,664.2392130549331,16.054
ads,1,30,13,5964.363332849893,15.742
ads,1,30,14,1107.6972402319,16.589
ads,1,30,15,1061.1894447566008,16.084
ads,1,30,16,8485.184195435293,5.71
ads,1,30,17,369.5102568591909,16.046
ads,1,30,18,1548.6103116547054,16.401
ads,1,30,19,611.0702462291569,15.345
ads,1,30,2,3051.7306147100044,16.316
ads,1,30,20,335.84367655944993,16.084
ads,1,30,21,324.85150252979855,16.458
ads,1,30,22,1190.8872668344666,6.013
ads,1,30,23,163.55551550652422,15.538
ads,1,30,24,2245.999639127165,15.692
ads,1,30,25,1701.9553670309713,16.296
ads,1,30,26,1789.6076016143584,15.819
ads,1,30,27,118.87242375195802,15.591
ads,1,30,28,1648.1113102687614,6.101
ads,1,30,29,3380.315145659073,15.539
ads,1,30,3,3310.280944803302,16.632
ads,1,30,4,2312.685215341364,5.861
ads,1,30,5,2814.9985387288725,15.824
ads,1,30,6,1263.2342775681964,15.482
ads,1,30,7,3169.238100350446,16.37
ads,1,30,8,2909.8860630298554,15.945
ads,1,30,9,2599.643713163336,15.952
ads,20,30,0,100.34175966868497,69.606
ads,20,30,1,642.5674695843213,69.304
ads,20,30,10,1296.1470471839953,71.63
ads,20,30,11,100.358279880802,69.415
ads,20,30,12,100.6066898187637,69.901
ads,20,30,13,100.29366404572693,69.371
ads,20,30,14,615.5445262776916,68.97
ads,20,30,15,100.3418182655796,69.554
ads,20,30,16,726.4058730073516,71.256
ads,20,30,17,100.33320513336912,69.364
ads,20,30,18,100.61011390263002,70.079
ads,20,30,19,791.484523936108,68.57
ads,20,30,2,758.9135699356061,69.776
ads,20,30,20,100.56764581669086,70.076
ads,20,30,21,668.0138849864388,69.165
ads,20,30,22,781.8344812937321,71.096
ads,20,30,23,950.9438981688845,68.262
ads,20,30,24,723.0181671738228,70.235
ads,20,30,25,679.8318744816643,70.319
ads,20,30,26,100.65375546913447,69.689
ads,20,30,27,698.2938451445411,69.506
ads,20,30,28,1020.3511680845982,70.595
ads,20,30,29,100.41660398617478,69.721
ads,20,30,3,100.35289112189321,70.273
ads,20,30,4,100.39098854864005,71.558
ads,20,30,5,820.6662680797581,69.03
ads,20,30,6,789.7530802851056,69.211
ads,20,30,7,879.105983916344,69.681
ads,20,30,8,629.2261285392551,69.832
ads,20,30,9,100.45991821208872,69.322
ads,21,30,0,2547.2190367056846,89.118
ads,21,30,1,2054.596154653722,88.501
ads,21,30,10,1638.6034714017287,94.597
ads,21,30,11,1219.3078698140125,90.89
ads,21,30,12,1848.3775868598896,89.382
ads,21,30,13,2423.6143476603684,92.864
ads,21,30,14,2154.322873842807,92.13
ads,21,30,15,2280.154209434544,91.422
ads,21,30,16,1986.0762554241524,93.951
ads,21,30,17,1870.6250708853063,91.716
ads,21,30,18,2843.2571932484097,88.829
ads,21,30,19,2371.7148789557777,91.276
ads,21,30,2,1914.6688376606953,92.647
ads,21,30,20,1299.546628256397,91.353
ads,21,30,21,1177.367874074866,91.365
ads,21,30,22,3287.117907695927,93.475
ads,21,30,23,2356.808195185913,88.559
ads,21,30,24,1882.7183614570595,90.908
ads,21,30,25,1993.8827722418541,90.936
ads,21,30,26,2255.1908985281098,90.548
ads,21,30,27,2632.2060142743157,89.069
ads,21,30,28,2393.4669396795125,94.281
ads,21,30,29,1772.238087803857,88.971
ads,21,30,3,2726.2573676521406,90.357
ads,21,30,4,1719.3340753949337,92.976
ads,21,30,5,2336.7903573402655,90.374
ads,21,30,6,1773.555750331886,92.23
ads,21,30,7,2766.411164094575,90.952
ads,21,30,8,2500.6866913904187,88.851
ads,21,30,9,2706.2554497211777,88.78
ads,22,30,0,1136.4086686242322,108.593
ads,22,30,1,201.22550691326023,107.442
ads,22,30,10,1012.8446132510053,111.805
ads,22,30,11,201.63652984871305,106.282
ads,22,30,12,201.10079786525102,106.226
ads,22,30,13,201.70540918023562,106.693
ads,22,30,14,201.5859660062306,106.476
ads,22,30,15,201.6129717506069,106.662
ads,22,30,16,202.61151519731357,109.688
ads,22,30,17,202.19601747859588,106.632
ads,22,30,18,201.45984514450038,106.466
ads,22,30,19,201.70670909441742,107.193
ads,22,30,2,202.0891984204327,105.892
ads,22,30,20,202.1915462266129,105.728
ads,22,30,21,835.5028366063048,109.128
ads,22,30,22,707.5841446384343,112.191
ads,22,30,23,201.36979569573532,106.017
ads,22,30,24,201.55872505881598,106.589
ads,22,30,25,201.62481268513375,106.897
ads,22,30,26,988.9898896837544,108.791
ads,22,30,27,1183.7760921756462,109.886
ads,22,30,28,201.68159449454743,109.706
ads,22,30,29,200.83082195974612,105.585
ads,22,30,3,789.0052264226524,108.808
ads,22,30,4,202.25204424367348,109.611
ads,22,30,5,201.3312056830946,106.546
ads,22,30,6,886.4614458747151,109.463
ads,22,30,7,201.87206215727838,107.061
ads,22,30,8,201.55048291156072,105.634
ads,22,30,9,201.83169839627544,106.313
ads,23,30,0,201.33503073735483,85.029
ads,23,30,1,201.12985989125673,85.356
ads,23,30,10,201.11204017395085,87.761
ads,23,30,11,201.04009296778986,84.564
ads,23,30,12,992.7442260129865,85.194
ads,23,30,13,201.32903495746768,85.482
ads,23,30,14,201.2025136447901,84.59
ads,23,30,15,950.5106068815462,85.471
ads,23,30,16,201.19792692069905,88.703
ads,23,30,17,200.95041600830882,84.569
ads,23,30,18,201.3653211042797,85.235
ads,23,30,19,200.96280405485004,85.173
ads,23,30,2,201.51611358500486,84.664
ads,23,30,20,201.7729260150454,85.257
ads,23,30,21,200.9966533873694,85.321
ads,23,30,22,201.01541294699473,87.851
ads,23,30,23,200.6475378614873,85.169
ads,23,30,24,200.7769171351979,85.18
ads,23,30,25,201.15324454539723,85.405
ads,23,30,26,201.26049519654407,85.075
ads,23,30,27,201.02899998156136,85.344
ads,23,30,28,201.08519961894262,88.356
ads,23,30,29,730.4911790663768,85.203
ads,23,30,3,201.0963234780229,84.991
ads,23,30,4,201.1222134103009,87.95
ads,23,30,5,201.15921241967362,84.574
ads,23,30,6,200.9518079074428,84.952
ads,23,30,7,200.82069059785135,85.0
ads,23,30,8,201.09371352390008,84.894
ads,23,30,9,201.5166192751908,85.06
ads,24,30,0,449.50271914637096,99.451
ads,24,30,1,505.31711118020576,99.786
ads,24,30,10,450.61776254119695,103.103
ads,24,30,11,446.4259122012563,99.695
ads,24,30,12,462.30915757596904,99.123
ads,24,30,13,450.5311451910511,99.77
ads,24,30,14,441.9683954423622,98.967
ads,24,30,15,429.0903360339653,99.787
ads,24,30,16,459.5300882365809,103.833
ads,24,30,17,461.4040154261702,99.178
ads,24,30,18,449.92750339840086,99.783
ads,24,30,19,514.6270362315222,99.68
ads,24,30,2,497.85021288027474,99.884
ads,24,30,20,513.992807248293,99.786
ads,24,30,21,498.4852873757477,99.901
ads,24,30,22,507.6287506144772,102.597
ads,24,30,23,444.08742348394117,99.176
ads,24,30,24,438.4111007731308,99.277
ads,24,30,25,438.2155161125238,100.376
ads,24,30,26,495.824413264937,99.655
ads,24,30,27,471.18280085915376,99.81
ads,24,30,28,523.2075264833579,103.109
ads,24,30,29,435.3564667812552,99.631
ads,24,30,3,453.6608211220978,99.585
ads,24,30,4,453.45585459379026,102.954
ads,24,30,5,503.7948353483948,100.03
ads,24,30,6,429.9063914020053,99.22
ads,24,30,7,432.0657434899922,99.123
ads,24,30,8,447.36295180315665,99.555
ads,24,30,9,500.10441386544244,99.2
