variant,fid,dim,seed,error,seconds
shuffled,10,50,0,65363.85977748447,42.727
shuffled,10,50,1,87500.68101007916,43.347
shuffled,10,50,10,57808.112146577536,50.501
shuffled,10,50,11,73116.82129974333,58.91
shuffled,10,50,12,66644.79173693524,42.312
shuffled,10,50,13,63856.1151877669,43.128
shuffled,10,50,14,79775.98559608695,54.437
shuffled,10,50,15,93036.69247977648,60.654
shuffled,10,50,16,81105.64224840736,55.627
shuffled,10,50,17,67196.2377635192,60.539
shuffled,10,50,18,76515.72054549426,43.165
shuffled,10,50,19,57244.86774846961,42.712
shuffled,10,50,2,54443.80204157821,57.826
shuffled,10,50,20,83184.14123755172,51.948
shuffled,10,50,21,83164.61148533976,52.52
shuffled,10,50,22,88298.72263923437,60.58
shuffled,10,50,23,81650.72763875996,52.909
shuffled,10,50,24,98101.38867879442,43.494
shuffled,10,50,25,79632.96188897519,42.759
shuffled,10,50,26,57204.66707592145,52.541
shuffled,10,50,27,73501.05876302498,51.556
shuffled,10,50,28,54577.55064998001,55.256
shuffled,10,50,29,69585.22306782889,51.377
shuffled,10,50,3,65445.741826871876,50.537
shuffled,10,50,4,52079.35614036133,51.685
shuffled,10,50,5,74755.21929922717,50.978
shuffled,10,50,6,52765.390811574136,42.301
shuffled,10,50,7,69060.29296318488,43.473
shuffled,10,50,8,54277.93796026806,61.899
shuffled,10,50,9,59920.939072790716,58.578
shuffled,11,50,0,14805802.983018188,61.109
shuffled,11,50,1,10207303.972636482,60.159
shuffled,11,50,10,7517992.987752581,75.146
shuffled,11,50,11,8654598.480762372,76.275
shuffled,11,50,12,14368857.328753708,58.989
shuffled,11,50,13,18344030.06572808,60.848
shuffled,11,50,14,15596026.323732877,76.98
shuffled,11,50,15,10344932.001575781,80.361
shuffled,11,50,16,9322006.461170293,75.743
shuffled,11,50,17,18386937.358796638,80.086
shuffled,11,50,18,11634551.483029138,60.872
shuffled,11,50,19,9900448.59136332,61.48
shuffled,11,50,2,9783349.350849237,76.039
shuffled,11,50,20,18464484.86136754,70.652
shuffled,11,50,21,8267110.476595491,72.95
shuffled,11,50,22,13732867.64177163,79.831
shuffled,11,50,23,9728009.455859726,72.926
shuffled,11,50,24,12173579.50188178,58.239
shuffled,11,50,25,24178103.149446562,62.018
shuffled,11,50,26,10467351.405026816,69.356
shuffled,11,50,27,6770532.874904907,67.792
shuffled,11,50,28,25267038.338109188,71.975
shuffled,11,50,29,11508665.204986189,70.855
shuffled,11,50,3,15533712.248105124,71.75
shuffled,11,50,4,7966120.608004706,73.931
shuffled,11,50,5,6109130.587614906,71.932
shuffled,11,50,6,20502522.374300692,60.447
shuffled,11,50,7,20810588.393862966,60.836
shuffled,11,50,8,13041910.571790472,79.362
shuffled,11,50,9,12819863.604075853,75.251
shuffled,12,50,0,582689.6204932603,46.046
shuffled,12,50,1,423749.10629445,47.066
shuffled,12,50,10,584722.5888729317,54.04
shuffled,12,50,11,530883.8901527378,54.217
shuffled,12,50,12,410123.04688024195,46.246
shuffled,12,50,13,379263.05100165686,49.055
shuffled,12,50,14,535774.8051992303,59.585
shuffled,12,50,15,379305.20003559865,55.525
shuffled,12,50,16,521773.74416660296,53.93
shuffled,12,50,17,492737.55564144085,55.57
shuffled,12,50,18,353268.9771700028,46.27
shuffled,12,50,19,656810.0794166162,58.479
shuffled,12,50,2,654190.7076353976,54.627
shuffled,12,50,20,416601.39232513483,60.566
shuffled,12,50,21,387834.53466014896,59.221
shuffled,12,50,22,334230.1094524251,55.47
shuffled,12,50,23,393843.7817324725,59.602
shuffled,12,50,24,412796.50917152973,45.742
shuffled,12,50,25,413472.2047289975,67.412
shuffled,12,50,26,380733.2292727995,56.001
shuffled,12,50,27,340660.05675793876,59.576
shuffled,12,50,28,334080.32350095257,58.329
shuffled,12,50,29,551501.8458418215,58.688
shuffled,12,50,3,526448.6093436853,54.457
shuffled,12,50,4,418766.18615228275,53.267
shuffled,12,50,5,426303.1890581954,54.135
shuffled,12,50,6,409425.8938169318,47.05
shuffled,12,50,7,444822.85452077613,46.901
shuffled,12,50,8,427321.2096693823,56.354
shuffled,12,50,9,603381.1225168575,53.845
shuffled,13,50,0,288163.09099979396,62.135
shuffled,13,50,1,222708.7809064114,69.923
shuffled,13,50,10,867567.6150158885,69.446
shuffled,13,50,11,616164.6075655419,68.051
shuffled,13,50,12,283619.6708561458,81.432
shuffled,13,50,13,429237.7789053161,71.355
shuffled,13,50,14,261010.4840117459,68.557
shuffled,13,50,15,386605.74317270477,67.784
shuffled,13,50,16,404056.5513579482,68.591
shuffled,13,50,17,504270.237729147,67.838
shuffled,13,50,18,880328.1175525921,71.732
shuffled,13,50,19,938062.7517800721,72.045
shuffled,13,50,2,622550.5124335834,68.622
shuffled,13,50,20,311680.95434046024,69.732
shuffled,13,50,21,357358.05481833,68.951
shuffled,13,50,22,563320.0068047765,67.868
shuffled,13,50,23,624177.5660073368,68.912
shuffled,13,50,24,342601.90988554753,70.392
shuffled,13,50,25,765180.7556691922,83.775
shuffled,13,50,26,546722.0956982786,70.101
shuffled,13,50,27,339774.1118654547,69.465
shuffled,13,50,28,326200.922658255,68.642
shuffled,13,50,29,460456.96409969754,69.798
shuffled,13,50,3,329429.61416181375,69.842
shuffled,13,50,4,822058.1949854596,75.405
shuffled,13,50,5,607725.0634978318,69.712
shuffled,13,50,6,1226700.9748634158,75.389
shuffled,13,50,7,408171.3325048245,71.691
shuffled,13,50,8,230177.7601929977,68.316
shuffled,13,50,9,623635.2050552204,68.416
shuffled,14,50,0,136705.98939075082,55.642
shuffled,14,50,1,161047.95857251534,59.225
shuffled,14,50,10,140617.2814849043,54.947
shuffled,14,50,11,207162.1766389523,55.059
shuffled,14,50,12,240735.79894106096,66.794
shuffled,14,50,13,285193.7046588634,57.146
shuffled,14,50,14,157625.55366175147,54.969
shuffled,14,50,15,165080.69711809425,54.749
shuffled,14,50,16,146277.07776710656,54.48
shuffled,14,50,17,405703.768320013,54.677
shuffled,14,50,18,148627.08462936175,61.401
shuffled,14,50,19,335014.54717821005,58.668
shuffled,14,50,2,194917.86141743328,55.781
shuffled,14,50,20,171265.6202403521,54.761
shuffled,14,50,21,172728.8194885542,54.074
shuffled,14,50,22,144140.0330362907,54.759
shuffled,14,50,23,121479.39321886754,53.99
shuffled,14,50,24,238325.33677619448,56.677
shuffled,14,50,25,123338.50265072979,58.918
shuffled,14,50,26,237214.75522472852,55.169
shuffled,14,50,27,160064.5558252689,54.345
shuffled,14,50,28,135422.1620848154,53.786
shuffled,14,50,29,122683.5323499938,54.654
shuffled,14,50,3,205830.4597642585,54.948
shuffled,14,50,4,172024.85323380947,55.042
shuffled,14,50,5,182550.45685433614,54.963
shuffled,14,50,6,181089.3852508938,58.548
shuffled,14,50,7,143858.59792715296,56.502
shuffled,14,50,8,123812.79011965008,55.328
shuffled,14,50,9,159803.07292633422,54.647
shuffled,15,50,0,33723.01099411473,158.543
shuffled,15,50,1,11432.00540303337,157.522
shuffled,15,50,10,18140.032513718415,148.141
shuffled,15,50,11,16485.427331790408,149.029
shuffled,15,50,12,14264.516699384058,149.608
shuffled,15,50,13,11019.055149822143,160.59
shuffled,15,50,14,27390.755844374842,148.843
shuffled,15,50,15,17848.864376613114,145.406
shuffled,15,50,16,10126.672483607228,147.186
shuffled,15,50,17,10445.348307984084,149.602
shuffled,15,50,18,13624.218841892442,158.262
shuffled,15,50,19,8647.44351024786,148.2
shuffled,15,50,2,12430.95483679332,146.814
shuffled,15,50,20,13057.672817274699,147.71
shuffled,15,50,21,10748.126108786397,147.979
shuffled,15,50,22,16034.866712950941,148.326
shuffled,15,50,23,13582.209803835314,148.78
shuffled,15,50,24,7596.836253465626,154.508
shuffled,15,50,25,9055.850217198084,149.717
shuffled,15,50,26,26073.53573769768,146.18
shuffled,15,50,27,25427.57782784987,147.81
shuffled,15,50,28,11473.107021925654,148.208
shuffled,15,50,29,10393.500880573427,149.344
shuffled,15,50,3,12882.521623900684,145.881
shuffled,15,50,4,18243.108928252783,148.362
shuffled,15,50,5,13609.643284523496,147.907
shuffled,15,50,6,29826.85030300911,160.821
shuffled,15,50,7,10591.48927100654,150.131
shuffled,15,50,8,26823.917629069932,149.449
shuffled,15,50,9,8900.05583066462,145.752
shuffled,16,50,0,2349.560362112059,588.199
shuffled,16,50,1,3025.5514183245896,587.021
shuffled,16,50,10,3168.586642659029,588.368
shuffled,16,50,11,2924.5176843720783,592.503
shuffled,16,50,12,3160.9490783169376,586.252
shuffled,16,50,13,2496.4219512021045,586.451
shuffled,16,50,14,2810.2035127264153,588.359
shuffled,16,50,15,4039.613459669259,587.324
shuffled,16,50,16,2998.60424653068,586.53
shuffled,16,50,17,3553.314644296136,587.557
shuffled,16,50,18,3805.8320652655448,588.436
shuffled,16,50,19,2991.952909472806,589.391
shuffled,16,50,2,2266.2667311724767,587.738
shuffled,16,50,20,2802.3114678141737,593.079
shuffled,16,50,21,2899.623383104673,591.627
shuffled,16,50,22,3031.5412935374625,588.151
shuffled,16,50,23,4020.0960293112967,593.187
shuffled,16,50,24,3059.7981348007743,585.894
shuffled,16,50,25,2720.862386905287,583.211
shuffled,16,50,26,3597.795172913269,592.21
shuffled,16,50,27,4637.9746322534465,587.606
shuffled,16,50,28,3821.2672081538058,594.301
shuffled,16,50,29,4202.6078076374,595.971
shuffled,16,50,3,3590.8698742089036,586.168
shuffled,16,50,4,2878.5275818618748,589.263
shuffled,16,50,5,2547.042883998268,590.942
shuffled,16,50,6,4021.56835927427,590.669
shuffled,16,50,7,2775.2681582566584,586.316
shuffled,16,50,8,2554.3485346258394,591.304
shuffled,16,50,9,3176.156038467775,589.641
shuffled,17,50,0,343548.39333550254,63.644
shuffled,17,50,1,247282.4790258338,63.69
shuffled,17,50,10,1515219.8291446022,63.133
shuffled,17,50,11,828787.082419885,63.945
shuffled,17,50,12,587441.5586541686,63.856
shuffled,17,50,13,344754.1159266714,63.288
shuffled,17,50,14,851434.8665949753,64.418
shuffled,17,50,15,924002.6749423879,63.367
shuffled,17,50,16,444222.85077646363,63.87
shuffled,17,50,17,1244253.9581316723,63.733
shuffled,17,50,18,935753.8106492782,62.965
shuffled,17,50,19,331771.3782499568,63.054
shuffled,17,50,2,327648.60527336784,65.055
shuffled,17,50,20,510469.8816505309,64.833
shuffled,17,50,21,528451.4140780974,63.103
shuffled,17,50,22,675132.0947854875,63.792
shuffled,17,50,23,1431926.7271392192,63.324
shuffled,17,50,24,598922.576106784,63.359
shuffled,17,50,25,823025.3320414766,63.344
shuffled,17,50,26,734319.3217904004,64.931
shuffled,17,50,27,314518.1463405235,63.775
shuffled,17,50,28,393835.2849605749,63.339
shuffled,17,50,29,347969.07672905165,63.57
shuffled,17,50,3,978731.3650701211,63.443
shuffled,17,50,4,676536.4746191209,63.746
shuffled,17,50,5,302841.81656790467,63.407
shuffled,17,50,6,510392.1650654553,63.907
shuffled,17,50,7,1242666.4207148755,63.15
shuffled,17,50,8,257005.36540887298,64.214
shuffled,17,50,9,705680.7741199768,63.897
shuffled,18,50,0,70687.76441580843,272.294
shuffled,18,50,1,46842.39706022918,275.561
shuffled,18,50,10,60116.0732605098,274.304
shuffled,18,50,11,92303.2237440494,273.734
shuffled,18,50,12,63612.90599739571,273.22
shuffled,18,50,13,87227.4045659069,272.383
shuffled,18,50,14,57309.92822284343,275.474
shuffled,18,50,15,110830.1539673947,272.709
shuffled,18,50,16,64916.36950003162,273.399
shuffled,18,50,17,95500.15583844631,273.636
shuffled,18,50,18,129543.74465698542,271.37
shuffled,18,50,19,113233.6556585264,271.779
shuffled,18,50,2,85649.95590119172,275.465
shuffled,18,50,20,72116.05762502506,277.046
shuffled,18,50,21,59468.96263275701,271.76
shuffled,18,50,22,77211.52220450898,272.336
shuffled,18,50,23,36252.13933696788,275.772
shuffled,18,50,24,47239.5341959294,273.675
shuffled,18,50,25,53444.43721436835,273.572
shuffled,18,50,26,63982.14361168574,274.34
shuffled,18,50,27,71930.46452586689,275.356
shuffled,18,50,28,41407.943814885744,275.737
shuffled,18,50,29,86473.81291693711,274.055
shuffled,18,50,3,159881.75885635373,272.949
shuffled,18,50,4,74780.64899922375,272.911
shuffled,18,50,5,85116.38664298858,274.414
shuffled,18,50,6,56072.98028866654,277.917
shuffled,18,50,7,51993.42491408704,274.112
shuffled,18,50,8,55484.8976958362,274.393
shuffled,18,50,9,144824.61268558213,273.839
shuffled,19,50,0,2907.9285365098895,600.127
shuffled,19,50,1,2928.4891543310296,599.148
shuffled,19,50,10,2185.291683006864,593.326
shuffled,19,50,11,4250.540200530431,594.58
shuffled,19,50,12,3545.1827607387067,594.871
shuffled,19,50,13,4177.289455550522,594.244
shuffled,19,50,14,1760.5067065746289,682.64
shuffled,19,50,15,2648.72481494339,659.127
shuffled,19,50,16,2286.955803800045,657.262
shuffled,19,50,17,2491.3508112512836,674.239
shuffled,19,50,18,2108.7867927870006,592.133
shuffled,19,50,19,4460.853184715073,590.219
shuffled,19,50,2,2319.56885369718,596.068
shuffled,19,50,20,2289.1785889086623,696.986
shuffled,19,50,21,4163.337328171816,689.382
shuffled,19,50,22,2098.0541863499598,692.292
shuffled,19,50,23,2792.251845203222,699.6
shuffled,19,50,24,3538.58323906868,661.419
shuffled,19,50,25,4120.4968220062965,689.537
