variant,fid,dim,seed,error,seconds
shuffled,10,30,0,57086.61998107913,49.205
shuffled,10,30,1,56735.67158107503,48.943
shuffled,10,30,10,46786.44024677791,48.924
shuffled,10,30,11,61843.07449329844,49.038
shuffled,10,30,12,38428.88107335096,48.845
shuffled,10,30,13,61965.517895072924,48.651
shuffled,10,30,14,65088.86849892847,48.876
shuffled,10,30,15,53979.877798008194,48.772
shuffled,10,30,16,72241.15272617081,48.934
shuffled,10,30,17,41936.349240270014,48.691
shuffled,10,30,18,38735.43603797296,48.756
shuffled,10,30,19,38638.35780993478,48.577
shuffled,10,30,2,32422.032568550923,49.247
shuffled,10,30,20,52614.40459753934,48.731
shuffled,10,30,21,47376.80905436388,48.781
shuffled,10,30,22,42315.62307620548,48.841
shuffled,10,30,23,48077.08566630544,48.725
shuffled,10,30,24,45786.60612419991,48.687
shuffled,10,30,25,59719.68026211453,48.471
shuffled,10,30,26,55373.23709245478,48.92
shuffled,10,30,27,51661.51551223706,48.579
shuffled,10,30,28,45769.92500107438,48.843
shuffled,10,30,29,55579.69674132796,48.651
shuffled,10,30,3,60377.29995664273,48.806
shuffled,10,30,4,73493.58771249202,49.244
shuffled,10,30,5,38981.554615031055,48.364
shuffled,10,30,6,35349.542249490856,48.774
shuffled,10,30,7,58496.35613513612,48.793
shuffled,10,30,8,48043.2259219398,48.987
shuffled,10,30,9,62171.859611177926,48.971
shuffled,11,30,0,1813781.3062574812,67.599
shuffled,11,30,1,5020642.052445457,68.984
shuffled,11,30,10,5333988.194766135,69.736
shuffled,11,30,11,11639671.142150352,64.938
shuffled,11,30,12,1125572.916941284,65.073
shuffled,11,30,13,2560340.9246985726,69.164
shuffled,11,30,14,6927736.129167343,65.08
shuffled,11,30,15,1457982.368444471,65.308
shuffled,11,30,16,4008746.777782362,65.33
shuffled,11,30,17,4505570.347197294,65.361
shuffled,11,30,18,2660849.5140554355,64.96
shuffled,11,30,19,16772293.539603287,67.992
shuffled,11,30,2,4726083.282086168,65.049
shuffled,11,30,20,468941.3661665342,69.116
shuffled,11,30,21,4170721.7304534903,65.198
shuffled,11,30,22,1816396.3089665463,65.179
shuffled,11,30,23,2498496.2071650876,68.915
shuffled,11,30,24,1261368.8973279032,65.176
shuffled,11,30,25,6136850.606629652,68.858
shuffled,11,30,26,2111605.493968706,69.283
shuffled,11,30,27,3011270.635658132,65.784
shuffled,11,30,28,7368274.866778088,66.199
shuffled,11,30,29,4197602.287471861,64.894
shuffled,11,30,3,11021018.042187527,65.973
shuffled,11,30,4,8622608.36216573,69.024
shuffled,11,30,5,3078885.5147716296,65.197
shuffled,11,30,6,7540420.352138628,65.682
shuffled,11,30,7,1850463.9634164902,65.785
shuffled,11,30,8,5938141.334525588,69.574
shuffled,11,30,9,12281224.626183592,65.379
shuffled,12,30,0,145340.15747707748,54.789
shuffled,12,30,1,113293.73970741233,54.871
shuffled,12,30,10,131353.76865345836,55.082
shuffled,12,30,11,115633.89848946739,54.525
shuffled,12,30,12,105012.52197930786,54.718
shuffled,12,30,13,93928.17193503317,54.249
shuffled,12,30,14,95917.76147555938,54.576
shuffled,12,30,15,97869.62296267322,54.654
shuffled,12,30,16,103491.9204849468,54.626
shuffled,12,30,17,120966.53315684438,54.724
shuffled,12,30,18,115822.36332398321,54.537
shuffled,12,30,19,121220.51633412036,54.699
shuffled,12,30,2,122577.0775330652,54.842
shuffled,12,30,20,107137.7050525723,54.772
shuffled,12,30,21,96822.01023502514,55.072
shuffled,12,30,22,125608.2552487771,54.835
shuffled,12,30,23,176422.2770141046,54.563
shuffled,12,30,24,86804.12357278277,54.952
shuffled,12,30,25,112768.75343814984,54.644
shuffled,12,30,26,89308.45516302725,55.036
shuffled,12,30,27,94336.69278746637,54.699
shuffled,12,30,28,94915.34733504466,55.004
shuffled,12,30,29,213571.74971950738,54.428
