function,dim,best_K,dense_pref,p_fried,autocorr,r4,r8,r16,r32,r59
Ackley,10,32,-0.16666666666666652,0.2970088373692398,0.5240734373144116,3.2,3.1,2.7,2.6333333333333333,3.3666666666666667
Ackley,30,59,1.9,4.0528409296729046e-05,0.5144055842821171,4.066666666666666,3.2666666666666666,2.966666666666667,2.533333333333333,2.1666666666666665
Ackley,50,59,2.3333333333333335,4.546196707293908e-09,0.46226408391520973,4.2,3.7666666666666666,2.7666666666666666,2.4,1.8666666666666667
Branin,2,4,-2.333333333333334,4.730742489267111e-08,0.99652647850765,1.8333333333333333,2.533333333333333,2.8666666666666667,3.6,4.166666666666667
Camel-Back,2,4,-2.6666666666666665,2.830095797276431e-10,0.9685546301541117,1.6333333333333333,2.3666666666666667,3.4,3.3,4.3
Foxholes,2,8,-0.733333333333333,0.02359104621730897,0.7778379294893616,3.066666666666667,2.566666666666667,2.7,2.8666666666666667,3.8
Goldstein-Price,2,4,-3.1999999999999997,3.3054680041228495e-14,0.9837094000915189,1.4,2.4,3.066666666666667,3.533333333333333,4.6
Griewank,10,59,1.1333333333333333,0.0032801484230947516,0.9874077369631129,3.6,3.6333333333333333,2.7666666666666666,2.533333333333333,2.466666666666667
Griewank,30,16,-1.833333333333333,4.784294685825503e-09,0.9861704904346728,2.7333333333333334,2.7666666666666666,1.9333333333333333,3.0,4.566666666666666
Griewank,50,4,-3.066666666666667,2.3188855420011873e-16,0.9863374389694026,1.9,2.1666666666666665,2.3333333333333335,3.6333333333333333,4.966666666666667
Hartman,3,32,0.20000000000000018,0.7308539674973005,0.9919479706498615,3.1333333333333333,3.1333333333333333,3.1333333333333333,2.6666666666666665,2.933333333333333
Kowalik,4,4,-0.5333333333333337,0.6339250450332721,0.0031655257078008706,2.8,2.933333333333333,3.1333333333333333,2.8,3.3333333333333335
Penalized,10,59,1.0,0.08497477440330463,0.9685221250946069,3.2666666666666666,3.1333333333333333,3.1666666666666665,3.1666666666666665,2.2666666666666666
Penalized,30,59,1.4666666666666668,0.00791527864807815,0.9718991611276774,3.7666666666666666,3.1333333333333333,3.033333333333333,2.7666666666666666,2.3
Penalized,50,59,2.3666666666666663,8.060142010997392e-08,0.9753574721906564,4.033333333333333,3.5,3.1333333333333333,2.6666666666666665,1.6666666666666667
Penalized2,10,4,-1.0333333333333332,0.07631445260992349,0.9781605287944126,2.566666666666667,3.1333333333333333,2.6333333333333333,3.066666666666667,3.6
Penalized2,30,59,1.9333333333333331,1.2799813293572706e-06,0.9741015203008706,4.033333333333333,3.566666666666667,3.033333333333333,2.2666666666666666,2.1
Penalized2,50,59,1.9000000000000004,6.283699054889887e-06,0.9665434573042606,4.133333333333334,3.3666666666666667,2.933333333333333,2.3333333333333335,2.2333333333333334
Quartic,10,4,-3.5,8.299308371312134e-21,0.9763686521864531,1.3333333333333333,1.9333333333333333,2.8666666666666667,4.033333333333333,4.833333333333333
Quartic,30,4,-3.433333333333333,6.224882926156786e-21,0.9741234239737278,1.3666666666666667,1.8333333333333333,2.933333333333333,4.066666666666666,4.8
Quartic,50,4,-3.1000000000000005,4.37021000781315e-18,0.9745615508937882,1.5333333333333334,1.9333333333333333,2.7666666666666666,4.133333333333334,4.633333333333334
Rastrigin,10,32,1.0999999999999996,0.004564924652645727,0.7120666009849491,3.933333333333333,2.7333333333333334,3.033333333333333,2.466666666666667,2.8333333333333335
Rastrigin,30,32,0.3666666666666667,0.018794715521455407,0.727757553507954,3.3333333333333335,3.6333333333333333,2.6666666666666665,2.4,2.966666666666667
Rastrigin,50,32,0.9666666666666663,0.003780140913813297,0.6992393065803255,3.933333333333333,3.0,2.6333333333333333,2.466666666666667,2.966666666666667
Rosenbrock,10,4,-0.3666666666666667,0.1438448758231374,0.9726433893985158,2.466666666666667,3.2666666666666666,3.0,3.433333333333333,2.8333333333333335
Rosenbrock,30,4,-0.1333333333333333,0.2135290967222618,0.9740874051853619,2.6333333333333333,2.8666666666666667,3.3,3.433333333333333,2.7666666666666666
Rosenbrock,50,4,-0.2333333333333334,0.39176251834819353,0.9716790946725847,2.6333333333333333,3.033333333333333,3.033333333333333,3.433333333333333,2.8666666666666667
Schwefel_1_2,10,4,-0.16666666666666652,0.9728487415853988,0.9901774561951235,2.8666666666666667,3.1333333333333333,3.033333333333333,2.933333333333333,3.033333333333333
Schwefel_1_2,30,4,-0.5666666666666664,0.03234091650705679,0.9882641430955084,2.3666666666666667,3.1333333333333333,3.6666666666666665,2.9,2.933333333333333
Schwefel_1_2,50,4,-0.7666666666666666,0.18377281281348762,0.9898963002154821,2.3666666666666667,3.1,3.1333333333333333,3.2666666666666666,3.1333333333333333
Schwefel_2_21,10,59,0.5333333333333332,0.12438388214626515,0.9114121966475011,3.0,2.8,3.433333333333333,3.3,2.466666666666667
Schwefel_2_21,30,59,2.1666666666666665,1.0609148827318487e-05,0.6640265917287961,4.033333333333333,3.066666666666667,3.066666666666667,2.966666666666667,1.8666666666666667
Schwefel_2_21,50,8,-0.1333333333333333,0.06143361626239687,0.5398243978920687,3.1333333333333333,2.2333333333333334,3.2333333333333334,3.1333333333333333,3.2666666666666666
Schwefel_2_22,10,16,0.5666666666666664,0.12054290580360404,0.9683687006522249,3.2666666666666666,3.433333333333333,2.5,3.1,2.7
Schwefel_2_22,30,59,2.2,3.6251726236868793e-06,0.8724311218690334,4.233333333333333,3.1333333333333333,2.8,2.8,2.033333333333333
Schwefel_2_22,50,59,2.5333333333333337,1.8355604026501466e-09,0.28713252135844114,4.166666666666667,3.6333333333333333,3.066666666666667,2.5,1.6333333333333333
Schwefel_2_26,10,4,-2.0,1.1064548061662986e-07,0.8447583247994943,2.033333333333333,2.3666666666666667,2.7333333333333334,3.8333333333333335,4.033333333333333
Schwefel_2_26,30,8,0.4333333333333331,0.3293197768903574,0.8493728606866621,3.2666666666666666,2.7333333333333334,3.4,2.7666666666666666,2.8333333333333335
Schwefel_2_26,50,16,-0.5,0.5600591756595635,0.8339640618952809,2.8,3.1666666666666665,2.7,3.033333333333333,3.3
Shekel1,6,4,-0.33333333333333304,0.6434424221956752,0.9912648928463591,2.7,2.8666666666666667,3.3,3.1,3.033333333333333
Shekel2,4,4,-2.166666666666667,5.865630798668186e-07,0.983281723166456,2.033333333333333,2.3666666666666667,3.1,3.3,4.2
Shekel3,4,4,-2.1333333333333337,7.661560202513876e-08,0.9676326247898293,2.0,2.2333333333333334,3.033333333333333,3.6,4.133333333333334
Shekel4,4,8,-1.6666666666666665,1.2629114312553534e-05,0.9722721323225434,2.6,2.2666666666666666,2.8333333333333335,3.033333333333333,4.266666666666667
Sphere,10,4,-3.8,6.983304005430604e-20,0.987405498406899,1.1666666666666667,2.3666666666666667,2.9,3.6,4.966666666666667
Sphere,30,4,-3.9333333333333336,2.0970030221117734e-23,0.9861704904538217,1.0666666666666667,2.1333333333333333,2.8666666666666667,3.933333333333333,5.0
Sphere,50,4,-3.966666666666667,4.2953958061009134e-24,0.986337438969358,1.0333333333333334,2.1333333333333333,2.8333333333333335,4.0,5.0
Step,10,4,0.0,,0.9871987735382295,3.0,3.0,3.0,3.0,3.0
Step,30,4,0.0,,0.986045016480948,3.0,3.0,3.0,3.0,3.0
Step,50,4,0.0,,0.9862128266477814,3.0,3.0,3.0,3.0,3.0
