config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,social,0.4631557111374489,0.8233751510435309,0.9080381948973888
paper defaults,200,4,0.3,social,0.39842489616472954,0.863004583094763,0.9325428835803993
paper defaults,200,4,0.3,social,0.6438079208190011,0.70696926966561,0.8594295280786115
paper defaults,200,4,0.3,social,0.6255921003518662,0.7187184224655252,0.8956074335409268
paper defaults,200,4,0.3,social,0.640321946895424,0.7092137238718065,0.6797247691990246
paper defaults,200,4,0.3,social,0.7169144760242616,0.66051665512638,0.826084871044077
paper defaults,200,4,0.3,social,1.0002866408740447,0.49985670010372446,0.60197370230908
paper defaults,200,4,0.3,social,0.6425805159540539,0.707759304228837,0.8261682997264392
paper defaults,200,4,0.3,social,0.6121523643094556,0.7274152916077922,0.8111516779632411
paper defaults,200,4,0.3,social,0.4564824661748891,0.8275568198915126,0.9333859675299989
paper defaults,200,4,0.3,social,0.5147556457719598,0.7905304727187104,0.913270584940716
paper defaults,200,4,0.3,social,0.4202267815840539,0.8499133379351083,0.9318890877228226
paper defaults,200,4,0.3,social,0.4317260358362581,0.8428950149596399,0.9146950041746388
paper defaults,200,4,0.3,social,0.69845166872292,0.6721176602857445,0.6896502651732279
paper defaults,200,4,0.3,social,0.5437671772097662,0.7717938711419262,0.8608151424515301
paper defaults,200,4,0.3,social,0.6598279154533538,0.6966830816709743,0.8641276420966487
paper defaults,200,4,0.3,social,0.5754439655170082,0.7512381771756345,0.828480291219805
paper defaults,200,4,0.3,social,0.6022506040268313,0.7338341168733179,0.8854795089033645
paper defaults,200,4,0.3,social,0.4813190767735964,0.8119070694603115,0.9086982773495451
paper defaults,200,4,0.3,social,0.5284528331993245,0.781700456771384,0.9101947594358549
paper defaults,200,4,0.3,social,0.6614994754818613,0.6956127085678409,0.8576913551843305
paper defaults,200,4,0.3,social,0.5286932595570046,0.7815451781953008,0.9252423669169703
paper defaults,200,4,0.3,social,0.5752288985680282,0.7513778659777817,0.8358214956115507
paper defaults,200,4,0.3,social,0.4643027858884039,0.8226545390945885,0.9271170813209074
paper defaults,200,4,0.3,social,0.75877140117281,0.6346248637769755,0.687649616254958
paper defaults,200,4,0.3,social,0.39585616194171275,0.864526829493177,0.9401302822184837
paper defaults,200,4,0.3,social,0.3002714839106723,0.9172940495841422,0.9548717977610289
paper defaults,200,4,0.3,social,0.6198417914640704,0.7224369463847271,0.8551044053889972
paper defaults,200,4,0.3,social,0.5942627281137476,0.7390173577229417,0.8367808252551513
paper defaults,200,4,0.3,social,0.409943815991839,0.8561248520919226,0.9390132040777294
paper defaults,200,4,0.3,social,0.5932074675642943,0.7397023632344558,0.8445584597859379
paper defaults,200,4,0.3,social,0.3951560430471007,0.8649409434943661,0.9488556420158432
paper defaults,200,4,0.3,social,0.277867199055806,0.928323941119068,0.9725127917388113
paper defaults,200,4,0.3,social,0.5418860029049131,0.7730123216374425,0.9077570788598431
paper defaults,200,4,0.3,social,0.04230860446600386,0.9982131804273583,0.9991818088675543
paper defaults,200,4,0.3,social,0.8229254993568567,0.5962295477885695,0.7879296270684459
paper defaults,200,4,0.3,social,0.6188718092562876,0.723064587976262,0.8453217880625756
paper defaults,200,4,0.3,social,0.6033064506650418,0.7331492929409164,0.8818167621268723
