variant,fid,dim,seed,error,seconds
degree,10,30,0,8056.396676274095,51.16
degree,10,30,1,2350.422462199438,50.967
degree,10,30,10,6437.360226626316,52.574
degree,10,30,11,1304.7990631361572,51.432
degree,10,30,12,1491.2140544708645,51.717
degree,10,30,13,8227.950431220775,51.681
degree,10,30,14,2203.2029005349355,51.493
degree,10,30,15,1465.0467282158124,52.004
degree,10,30,16,7379.699293454523,52.811
degree,10,30,17,1446.0869952975327,51.432
degree,10,30,18,4804.684032280895,42.445
degree,10,30,19,2595.3191009085376,40.999
degree,10,30,2,9048.250571879045,51.28
degree,10,30,20,766.5592228673013,39.916
degree,10,30,21,9230.247923993917,36.316
degree,10,30,22,8113.855173428976,35.614
degree,10,30,23,1365.5235696482114,42.814
degree,10,30,24,16164.096643536908,22.294
degree,10,30,25,7405.440760465077,23.058
degree,10,30,26,366.42914690930775,22.834
degree,10,30,27,8076.0093548342575,25.47
degree,10,30,28,15670.938362018234,27.513
degree,10,30,29,2470.4782399325227,22.702
degree,10,30,3,3751.001107513808,51.369
degree,10,30,4,6179.56990039746,52.119
degree,10,30,5,1352.7365569342965,51.025
degree,10,30,6,5233.163999116969,51.84
degree,10,30,7,13021.77573717268,51.381
degree,10,30,8,1014.2068596504316,51.714
degree,10,30,9,927.393131517071,51.979
degree,11,30,0,7112.327049250183,67.81
degree,11,30,1,3470.7830413406027,69.695
degree,11,30,10,3990.1385231790373,70.418
degree,11,30,11,7574.259553380576,67.212
degree,11,30,12,4896.4826668086425,74.258
degree,11,30,13,4841.268664659938,71.263
degree,11,30,14,4883.006362461525,71.405
degree,11,30,15,4308.7647386078,72.839
degree,11,30,16,4534.590600068519,73.585
degree,11,30,17,2194.687434363679,74.508
degree,11,30,18,3315.1776688010796,68.029
degree,11,30,19,4538.737614619161,67.776
degree,11,30,2,3967.0100867092915,70.03
degree,11,30,20,3193.528794197934,68.128
degree,11,30,21,3512.5850347815885,68.458
degree,11,30,22,1644.4448068939778,73.411
degree,11,30,23,3671.0143213747524,68.086
degree,11,30,24,3374.7789431202127,71.953
degree,11,30,25,7708.512836957369,72.301
degree,11,30,26,3406.728555345516,72.319
degree,11,30,27,12067.881613352361,72.854
degree,11,30,28,2815.8677908445634,74.998
degree,11,30,29,1809.2436905050035,67.52
degree,11,30,3,3634.0614597214044,71.334
degree,11,30,4,3015.1688417199484,72.648
degree,11,30,5,3344.4344932517943,67.649
degree,11,30,6,3939.288264450912,71.604
degree,11,30,7,2196.133144147449,71.551
degree,11,30,8,3727.5917310683017,71.871
degree,11,30,9,3389.213375573854,68.567
degree,12,30,0,2674.141325461972,50.655
degree,12,30,1,2995.031609484574,50.838
degree,12,30,10,1445.5380823834757,57.231
degree,12,30,11,1780.8140129389712,50.406
degree,12,30,12,5815.836239405789,57.434
degree,12,30,13,1421.7535040147322,57.472
degree,12,30,14,6751.087994627637,57.436
degree,12,30,15,870.3854145227988,57.462
degree,12,30,16,1810.2508375099706,58.554
degree,12,30,17,5016.010799719968,56.625
degree,12,30,18,12702.963259743645,38.194
degree,12,30,19,8236.587129575757,38.482
degree,12,30,2,2296.0567882698183,51.372
degree,12,30,20,314.0987746231897,38.565
degree,12,30,21,67.90429427470713,38.092
degree,12,30,22,116.7284943222644,37.153
degree,12,30,23,12703.437120070901,57.353
degree,12,30,24,637.618351684639,28.089
degree,12,30,25,12826.999509819447,27.982
degree,12,30,26,17780.181786671154,28.643
degree,12,30,27,8035.327803977827,28.155
degree,12,30,28,10155.05944749288,28.954
degree,12,30,29,4376.340878385353,27.121
degree,12,30,3,2838.384711576393,50.767
degree,12,30,4,1019.8433401275283,51.579
degree,12,30,5,198.44154653022747,58.528
degree,12,30,6,17312.575763952227,56.189
degree,12,30,7,1395.6650410765615,56.219
degree,12,30,8,2740.6390920463723,56.179
degree,12,30,9,776.1192971794553,56.587
degree,13,30,0,102742.55750269376,35.566
degree,13,30,1,77014.85207197776,34.574
degree,13,30,10,7507.005616171527,52.55
degree,13,30,11,87148.22181268902,46.564
degree,13,30,12,96628.43483362209,41.342
degree,13,30,13,203767.5632029796,39.598
degree,13,30,14,99200.43787947686,41.406
degree,13,30,15,14048.9565337995,40.982
degree,13,30,16,222531.45471124686,42.765
degree,13,30,17,114988.20112458299,44.905
degree,13,30,18,42559.51481751217,47.437
degree,13,30,19,121187.62072377554,45.731
degree,13,30,2,12449.286870963897,36.648
degree,13,30,20,51046.221043163525,47.312
degree,13,30,21,225005.0266297803,46.538
degree,13,30,22,36903.35695849034,48.68
degree,13,30,23,40797.25887945521,43.388
degree,13,30,24,105009.16998337989,48.945
degree,13,30,25,55130.34633337376,47.904
degree,13,30,26,29275.39493586239,48.276
degree,13,30,27,169454.1518263964,48.937
degree,13,30,28,298331.74215991766,49.699
degree,13,30,29,30781.913028824358,46.023
degree,13,30,3,178404.95036727903,35.427
degree,13,30,4,40826.01614810785,39.478
degree,13,30,5,142273.7194830202,34.317
degree,13,30,6,192180.66311711844,55.054
degree,13,30,7,187151.94976450776,55.088
degree,13,30,8,28127.582474011127,54.495
degree,13,30,9,136737.09710226062,55.148
degree,14,30,0,14109.264437514521,41.864
degree,14,30,1,6750.8864128666155,40.675
degree,14,30,10,12089.363229837403,33.089
degree,14,30,11,1848.934572654559,41.505
degree,14,30,12,9956.470297818676,26.358
