function,dim,K,seed,best,evals,seconds
Ackley,10,16,0,0.052324349360866496,35000,4.178
Ackley,10,16,1,0.007829829590502602,35000,4.174
Ackley,10,16,10,2.3168652025328744,35000,4.133
Ackley,10,16,11,2.013329183844537,35000,4.168
Ackley,10,16,12,0.04939243640835089,35000,4.158
Ackley,10,16,13,0.7246802472868059,35000,4.145
Ackley,10,16,14,2.317629180746405,35000,4.132
Ackley,10,16,15,0.8142327186173799,35000,4.173
Ackley,10,16,16,0.0019703703974127684,35000,4.136
Ackley,10,16,17,1.1551640761498096,35000,4.14
Ackley,10,16,18,0.06722125621784203,35000,4.128
Ackley,10,16,19,2.3168669408118316,35000,4.156
Ackley,10,16,2,2.0134078260687045,35000,4.162
Ackley,10,16,20,0.01939614745665752,35000,4.196
Ackley,10,16,21,2.013341532382747,35000,4.137
Ackley,10,16,22,2.8143643420508337,35000,4.135
Ackley,10,16,23,0.2180802827254209,35000,4.175
Ackley,10,16,24,0.27862237117264543,35000,4.163
Ackley,10,16,25,0.003624420844648757,35000,4.172
Ackley,10,16,26,0.04916695383101599,35000,4.184
Ackley,10,16,27,0.44452334923406456,35000,4.166
Ackley,10,16,28,1.140760019495517,35000,4.154
Ackley,10,16,29,0.019477631084090508,35000,4.159
Ackley,10,16,3,2.5799667984982695,35000,4.141
Ackley,10,16,4,0.2925915240172725,35000,4.167
Ackley,10,16,5,1.6462405435022736,35000,4.13
Ackley,10,16,6,0.2156855187387312,35000,4.161
Ackley,10,16,7,0.7543982282760173,35000,4.145
Ackley,10,16,8,0.3360381383912885,35000,4.155
Ackley,10,16,9,0.19203210914641788,35000,4.154
Ackley,10,32,0,0.19754318502164425,35000,5.889
Ackley,10,32,1,0.2467870972886712,35000,5.857
Ackley,10,32,10,1.6463236107652865,35000,5.748
Ackley,10,32,11,0.010015749331643509,35000,5.889
Ackley,10,32,12,1.6463772255066016,35000,5.778
Ackley,10,32,13,0.07199213081981926,35000,5.875
Ackley,10,32,14,0.00480293225902928,35000,5.936
Ackley,10,32,15,1.155200508828067,35000,5.8
Ackley,10,32,16,3.574130116635953,35000,5.833
Ackley,10,32,17,0.06770855075876314,35000,5.888
