variant,function,seed,best,evals,seconds
social,Sphere,0,84.9320171840475,20000,0.9612153000052786
social,Sphere,1,15.359859037042854,20000,0.9820509999990463
social,Sphere,2,77.7523528078367,20000,0.9512334000028204
social,Sphere,3,46.66636683086396,20000,0.9622125999885611
social,Sphere,4,30.432247978339426,20000,0.9338806000014301
social,Sphere,5,51.929424887206494,20000,0.9731231000041589
social,Sphere,6,19.43644538346744,20000,0.9483593000040855
social,Sphere,7,21.243391412488663,20000,0.9234778999962145
social,Sphere,8,120.78625678027034,20000,0.9221103999880143
social,Sphere,9,12.72455880887754,20000,0.9295905999897514
social,Sphere,10,62.147430953758764,20000,0.9250803000031738
social,Sphere,11,26.0913829084514,20000,0.9182631000003312
social,Sphere,12,22.9911522446721,20000,0.8937421000009635
social,Sphere,13,23.705333529321624,20000,0.8971804000029806
social,Sphere,14,28.224959096101795,20000,0.8930680000048596
social,Sphere,15,22.559131838695436,20000,0.8744405000034021
social,Sphere,16,92.8432032097666,20000,0.8970079999999143
social,Sphere,17,37.138274249573726,20000,0.8950991999881808
social,Sphere,18,28.680331031464863,20000,0.9147582000005059
social,Sphere,19,25.095813636734956,20000,0.9036376000003656
social,Sphere,20,51.85748047449861,20000,0.9270582000026479
social,Sphere,21,23.503691682798916,20000,0.8915620999905514
social,Sphere,22,16.84081396331736,20000,0.8850290999980643
social,Sphere,23,32.45395815814631,20000,0.9256189999869093
social,Sphere,24,29.157915305198042,20000,0.8683357999980217
social,Sphere,25,8.263143328853513,20000,0.9294070000032661
social,Sphere,26,28.41467935898519,20000,0.9036729000072228
social,Sphere,27,44.454420058925486,20000,0.8778070999978809
social,Sphere,28,37.71698014393898,20000,0.8581541000021389
social,Sphere,29,33.18503551031645,20000,0.8746715000015683
social,Rosenbrock,0,1374.4424104827347,20000,1.4520124999980908
social,Rosenbrock,1,2445.799108887186,20000,1.4043557999975746
social,Rosenbrock,2,4129.48259211389,20000,1.4564008000015747
social,Rosenbrock,3,1197.094399703273,20000,1.4504727000021376
social,Rosenbrock,4,468.8427553361753,20000,1.4578473000001395
social,Rosenbrock,5,760.8611346600957,20000,1.4066811000084272
social,Rosenbrock,6,1198.6878317720802,20000,1.4748346999986097
social,Rosenbrock,7,517.9442196415124,20000,1.5189514999947278
social,Rosenbrock,8,2036.2438645722493,20000,1.4692003999953158
